shader,mode,toolchain,iter,compile_ms,spv_size_bytes,validation_pass,spirv_inst_count
hzb_cull_minimal.comp,default,dxc,11,12.493,3320,1,195
hzb_cull_minimal.comp,default,dxc,12,12.198,3320,1,195
hzb_cull_minimal.comp,default,dxc,13,11.891,3320,1,195
hzb_cull_minimal.comp,default,dxc,14,12.171,3320,1,195
hzb_cull_minimal.comp,default,dxc,15,13.884,3320,1,195
hzb_cull_minimal.comp,default,dxc,16,15.668,3320,1,195
hzb_cull_minimal.comp,default,dxc,17,13.599,3320,1,195
hzb_cull_minimal.comp,default,dxc,18,11.765,3320,1,195
hzb_cull_minimal.comp,default,dxc,19,12.521,3320,1,195
hzb_cull_minimal.comp,default,dxc,20,21.312,3320,1,195
hzb_cull_minimal.comp,debug,glslc,1,123.081,6804,1,351
hzb_cull_minimal.comp,debug,glslc,2,121.229,6804,1,351
hzb_cull_minimal.comp,debug,glslc,3,127.205,6804,1,351
hzb_cull_minimal.comp,debug,glslc,4,131.119,6804,1,351
hzb_cull_minimal.comp,debug,glslc,5,123.562,6804,1,351
hzb_cull_minimal.comp,debug,glslc,6,120.526,6804,1,351
hzb_cull_minimal.comp,debug,glslc,7,118.364,6804,1,351
hzb_cull_minimal.comp,debug,glslc,8,127.454,6804,1,351
hzb_cull_minimal.comp,debug,glslc,9,128.184,6804,1,351
hzb_cull_minimal.comp,debug,glslc,10,125.625,6804,1,351
hzb_cull_minimal.comp,debug,glslc,11,124.213,6804,1,351
hzb_cull_minimal.comp,debug,glslc,12,125.203,6804,1,351
hzb_cull_minimal.comp,debug,glslc,13,129.977,6804,1,351
hzb_cull_minimal.comp,debug,glslc,14,118.645,6804,1,351
hzb_cull_minimal.comp,debug,glslc,15,123.204,6804,1,351
hzb_cull_minimal.comp,debug,glslc,16,127.566,6804,1,351
hzb_cull_minimal.comp,debug,glslc,17,160.181,6804,1,351
